eventID,eventDate,maximumDepthInMeters,minimumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,countryCode
AMBON_Zooplankton_2017_ML1.8_2017-08-18T11:57:00Z,2017-08-18T11:57:00Z,40,40,70.8973,-165.2527,WGS84,US
AMBON_Zooplankton_2017_ML5.5_2017-08-19T21:52:00Z,2017-08-19T21:52:00Z,40,40,71.1468,-164.486,WGS84,US
AMBON_Zooplankton_2017_ML5.1_2017-08-20T09:50:00Z,2017-08-20T09:50:00Z,40,40,70.648,-165.9955,WGS84,US
AMBON_Zooplankton_2017_DBO3.2_2017-08-07T14:22:00Z,2017-08-07T14:22:00Z,41,41,68.2425,-167.1237,WGS84,US
AMBON_Zooplankton_2017_ML3.9_2017-08-16T04:31:00Z,2017-08-16T04:31:00Z,41,41,71.4908,-163.3845,WGS84,US
AMBON_Zooplankton_2017_ML3.3_2017-08-17T00:39:00Z,2017-08-17T00:39:00Z,41,41,70.7143,-161.1789,WGS84,US
AMBON_Zooplankton_2017_ML1.9_2017-08-18T15:43:00Z,2017-08-18T15:43:00Z,41,41,71.0213,-165.635,WGS84,US
AMBON_Zooplankton_2017_ML5.6_2017-08-19T18:42:00Z,2017-08-19T18:42:00Z,41,41,71.1181,-163.806,WGS84,US
AMBON_Zooplankton_2017_ML6.8_2017-08-10T10:14:00Z,2017-08-10T10:14:00Z,42,42,70.9597,-161.1383,WGS84,US
AMBON_Zooplankton_2017_ML4.8_2017-08-13T04:32:00Z,2017-08-13T04:32:00Z,42,42,71.7191,-161.7743,WGS84,US
AMBON_Zooplankton_2017_ML5.10_2017-08-14T22:07:00Z,2017-08-14T22:07:00Z,42,42,71.6026,-162.2024,WGS84,US
AMBON_Zooplankton_2017_ML5.9_2017-08-15T01:08:00Z,2017-08-15T01:08:00Z,42,42,71.4826,-162.6048,WGS84,US
AMBON_Zooplankton_2017_ML1.5_2017-08-18T01:33:00Z,2017-08-18T01:33:00Z,42,42,70.524,-164.1259,WGS84,US
AMBON_Zooplankton_2017_ML1.11_2017-08-18T22:33:00Z,2017-08-18T22:33:00Z,42,42,71.2668,-166.4192,WGS84,US
AMBON_Zooplankton_2017_ML5.7_2017-08-19T15:56:00Z,2017-08-19T15:56:00Z,42,42,71.2412,-163.3977,WGS84,US
AMBON_Zooplankton_2017_BBL7_2017-08-21T21:40:00Z,2017-08-21T21:40:00Z,42,42,69.9168,-166.0563,WGS84,US
AMBON_Zooplankton_2017_ML6.7_2017-08-10T06:22:00Z,2017-08-10T06:22:00Z,43,43,70.8431,-161.539,WGS84,US
AMBON_Zooplankton_2017_ML4.2_2017-08-12T08:54:00Z,2017-08-12T08:54:00Z,43,43,70.9327,-159.5049,WGS84,US
AMBON_Zooplankton_2017_ML3.14_2017-08-15T11:58:00Z,2017-08-15T11:58:00Z,43,43,72.1187,-165.3628,WGS84,US
AMBON_Zooplankton_2017_ML3.4_2017-08-16T22:17:00Z,2017-08-16T22:17:00Z,43,43,70.8434,-161.5376,WGS84,US
AMBON_Zooplankton_2017_CL1_2017-08-08T12:26:00Z,2017-08-08T12:26:00Z,44,44,68.9482,-166.9082,WGS84,US
AMBON_Zooplankton_2017_ML3.8_2017-08-16T07:26:00Z,2017-08-16T07:26:00Z,44,44,71.3615,-163.0025,WGS84,US
AMBON_Zooplankton_2017_ML3.7_2017-08-16T11:26:00Z,2017-08-16T11:26:00Z,44,44,71.232,-162.6257,WGS84,US
AMBON_Zooplankton_2017_ML3.6_2017-08-16T14:36:00Z,2017-08-16T14:36:00Z,44,44,71.1031,-162.2556,WGS84,US
AMBON_Zooplankton_2017_ML3.5_2017-08-16T18:40:00Z,2017-08-16T18:40:00Z,44,44,70.9718,-161.9024,WGS84,US
AMBON_Zooplankton_2017_ML1.6_2017-08-18T04:57:00Z,2017-08-18T04:57:00Z,44,44,70.6468,-164.5024,WGS84,US
AMBON_Zooplankton_2017_ML1.12_2017-08-19T01:25:00Z,2017-08-19T01:25:00Z,44,44,71.3868,-166.8195,WGS84,US
AMBON_Zooplankton_2017_BBL8_2017-08-22T00:42:00Z,2017-08-22T00:42:00Z,44,44,70.0056,-166.4723,WGS84,US
AMBON_Zooplankton_2017_DBO3.8_2017-08-06T18:14:00Z,2017-08-06T18:14:00Z,45,45,67.6664,-168.9541,WGS84,US
AMBON_Zooplankton_2017_DBO3.3_2017-08-07T10:59:00Z,2017-08-07T10:59:00Z,45,45,68.1861,-167.307,WGS84,US
AMBON_Zooplankton_2017_ML4.7_2017-08-13T01:27:00Z,2017-08-13T01:27:00Z,45,45,71.5887,-161.4001,WGS84,US
AMBON_Zooplankton_2017_BBL9_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,45,45,70.0967,-166.9094,WGS84,US
AMBON_Zooplankton_2017_ML4.6_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,45,45,71.4549,-161.0383,WGS84,US
AMBON_Zooplankton_2017_ML1.13_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,46,46,71.5073,-167.2207,WGS84,US
AMBON_Zooplankton_2017_BBL11_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,46,46,70.2812,-167.8148,WGS84,US
AMBON_Zooplankton_2017_CL2_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,47,47,69.0288,-167.9343,WGS84,US
AMBON_Zooplankton_2017_ML4.5_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,47,47,71.3244,-160.6564,WGS84,US
AMBON_Zooplankton_2017_ML4.14_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,47,47,72.4964,-164.1022,WGS84,US
AMBON_Zooplankton_2017_DBO3.7_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,48,48,67.7835,-168.605,WGS84,US
AMBON_Zooplankton_2017_DBO3.4_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,48,48,68.1245,-167.4978,WGS84,US
AMBON_Zooplankton_2017_BBL10_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,48,48,70.1925,-167.3646,WGS84,US
AMBON_Zooplankton_2017_CL3_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,50,50,69.0334,-168.8931,WGS84,US
AMBON_Zooplankton_2017_ML6.9_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,50,50,71.0712,-160.747,WGS84,US
AMBON_Zooplankton_2017_DBO3.5_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,51,51,68.0118,-167.8658,WGS84,US
AMBON_Zooplankton_2017_ML4.3_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,55,55,71.0638,-159.8822,WGS84,US
AMBON_Zooplankton_2017_DBO3.6_2017-08-22T03:47:00Z,2017-08-22T03:47:00Z,56,56,67.897,-168.2368,WGS84,US
AMBON_Zooplankton_2017_DBO3.6_2017-08-07T01:39:00Z,2017-08-07T01:39:00Z,56,56,67.897,-168.2368,WGS84,US
AMBON_Zooplankton_2017_ML1.2_2017-08-17T18:22:00Z,2017-08-17T18:22:00Z,20,20,70.1434,-163.0342,WGS84,US
AMBON_Zooplankton_2017_ML1.3_2017-08-17T20:46:00Z,2017-08-17T20:46:00Z,29,29,70.2677,-163.3998,WGS84,US
AMBON_Zooplankton_2017_ML1.4_2017-08-17T23:23:00Z,2017-08-17T23:23:00Z,34,34,70.3973,-163.7713,WGS84,US
AMBON_Zooplankton_2017_ML1.5_2017-08-18T02:23:00Z,2017-08-18T02:23:00Z,42,42,70.5239,-164.1307,WGS84,US
AMBON_Zooplankton_2017_ML1.6_2017-08-18T06:01:00Z,2017-08-18T06:01:00Z,44,44,70.6464,-164.4836,WGS84,US
AMBON_Zooplankton_2017_ML1.7_2017-08-18T09:22:00Z,2017-08-18T09:22:00Z,38,38,70.7709,-164.8769,WGS84,US
AMBON_Zooplankton_2017_ML1.8_2017-08-18T13:03:00Z,2017-08-18T13:03:00Z,39,39,70.8913,-165.2675,WGS84,US
