ufn,semsp_id,seine_id,species,fork_length_field,weight_field,weight,fork_length
U332,2015-05-24-D09-SO-25,DE121N1,SO,NA,NA,8.7,97
U333,2015-05-24-D09-SO-29,DE121N1,SO,NA,NA,10.4,100
U334,2015-05-26-D09-SO-9,DE130N1,SO,NA,NA,10.6,99
U316,2015-05-16-D06-SO-12,DE106N1,SO,NA,NA,9.2,91
U317,2015-05-24-D09-SO-28,DE121N1,SO,NA,NA,8.4,96
U318,2015-05-24-D09-SO-24,DE121N1,SO,NA,NA,8.3,91
U319,2015-05-24-D09-SO-21,DE121N1,SO,NA,NA,9.2,102
U320,2015-05-26-D09-SO-8,DE130N1,SO,NA,NA,13.1,107
U306,2015-05-16-D06-SO-11,DE106N1,SO,NA,NA,12.2,103
U307,2015-05-24-D09-SO-27,DE121N1,SO,NA,NA,9.2,101
U308,2015-05-24-D09-SO-23,DE121N1,SO,NA,NA,11.1,103
U309,2015-05-26-D09-SO-6,DE130N1,SO,NA,NA,12.6,107
U310,2015-05-26-D09-SO-10,DE130N1,SO,NA,NA,12.2,104
U341,2015-05-26-D09-SO-7,DE130N1,SO,NA,NA,10.7,103
U321,2015-05-16-D06-SO-13,DE106N1,SO,NA,NA,11.7,104
U335,2015-05-26-D09-SO-1,DE130N1,SO,NA,NA,8.7,99
U336,2015-05-26-D09-SO-5,DE130N1,SO,NA,NA,14.3,110
U337,2015-05-12-D01-SO-4,DE100N3,SO,NA,NA,10.6,95
U338,2015-05-12-D01-SO-10,DE100N3,SO,NA,NA,14.6,105
U339,2015-05-12-D01-SO-5,DE100N3,SO,NA,NA,7.2,85
U340,2015-05-12-D01-SO-2,DE100N3,SO,NA,NA,11.7,95
U361,2015-05-20-D09-SO-20,DE112N1,SO,NA,NA,9.1,98
U351,2015-05-26-D09-SO-3,DE130N1,SO,NA,NA,NA,103
U352,2015-05-12-D01-SO-3,DE100N3,SO,NA,NA,8.7,86
U353,2015-05-12-D01-SO-9,DE100N3,SO,NA,NA,11.7,92
U354,2015-05-12-D01-SO-6,DE100N3,SO,NA,NA,10.9,96
U355,2015-05-20-D09-SO-15,DE112N1,SO,NA,NA,12,98
U356,2015-05-20-D09-SO-17,DE112N1,SO,NA,NA,10.5,103
U342,2015-05-26-D09-SO-2,DE130N1,SO,NA,NA,10,99
U343,2015-05-26-D09-SO-4,DE130N1,SO,NA,NA,10.3,98
U344,2015-05-12-D01-SO-1,DE100N3,SO,NA,NA,10.3,95
U345,2015-05-12-D01-SO-7,DE100N3,SO,NA,NA,11.9,92
U346,2015-05-12-D01-SO-8,DE100N3,SO,NA,NA,11.4,96
U347,2015-05-20-D09-SO-19,DE112N1,SO,NA,NA,11.3,102
U348,2015-05-20-D09-SO-13,DE112N1,SO,NA,NA,9.7,94
U362,2015-05-20-D09-SO-16,DE112N1,SO,NA,NA,6.8,89
U363,2015-05-20-D09-SO-18,DE112N1,SO,NA,NA,10.2,101
U364,2015-05-15-D02-SO-11,DE104N1,SO,NA,NA,5.9,80
U365,2015-05-15-D02-SO-20,DE104N1,SO,NA,NA,8.5,85
U366,2015-05-15-D02-SO-16,DE104N1,SO,NA,NA,8.8,91
U367,2015-05-15-D02-SO-3,DE104N1,SO,NA,NA,6.8,81
U357,2015-05-20-D09-SO-14,DE112N1,SO,NA,NA,10.6,101
U358,2015-05-15-D02-SO-15,DE104N1,SO,NA,NA,10.2,100
U359,2015-05-15-D02-SO-13,DE104N1,SO,NA,NA,9.6,97
U360,2015-05-15-D02-SO-18,DE104N1,SO,NA,NA,6.9,88
U381,2015-05-18-D05-SO-6,DE110N1,SO,NA,NA,6.7,86
U349,2015-05-20-D09-SO-12,DE112N1,SO,NA,NA,11.1,104
U350,2015-05-20-D09-SO-11,DE112N1,SO,NA,NA,9.8,101
U371,2015-05-15-D02-SO-14,DE104N1,SO,NA,NA,7.1,85
U372,2015-05-15-D02-SO-17,DE104N1,SO,NA,NA,7.6,91
U373,2015-05-15-D02-SO-12,DE104N1,SO,NA,NA,9.8,92
U374,2015-05-15-D02-SO-19,DE104N1,SO,NA,NA,7.4,85
U368,2015-05-18-D05-SO-1,DE110N1,SO,NA,NA,9.1,94
U369,2015-05-18-D05-SO-2,DE110N1,SO,NA,NA,10.4,100
