seine_id,survey_id,lat,long,set_time,so_total,so_taken,pi_total,pi_taken,cu_total,cu_taken,co_total,co_taken,he_total,he_taken,ck_total,ck_taken
DE372N1,DE372,50.3041,-125.33841,2017-06-12 10:05:00 PDT,85,30,0,0,128,10,0,0,1,1,0,0
DE376N1,DE376,50.274596,-125.377527,2017-06-13 09:10:00 PDT,130,30,0,0,505,10,0,0,3,3,2,2
DE377N1,DE377,50.236254,-125.398402,2017-06-19 08:20:00 PDT,40,30,0,0,320,12,0,0,0,0,0,0
DE378N1,DE378,50.304561,-125.337253,2017-06-20 07:20:00 PDT,10,10,0,0,240,10,0,0,0,0,0,0
DE373N2,DE373,50.297362,-125.339472,2017-06-26 11:52:00 PDT,14,8,0,0,120,0,0,0,0,0,0,0
DE373N1,DE373,50.29725,-125.338485,2017-06-26 09:15:00 PDT,23,23,3,2,285,10,0,0,2,2,0,0
DE374N1,DE374,50.434701,-125.26607,2017-06-28 07:30:00 PDT,10,10,0,0,535,10,0,0,1,1,0,0
DE379N1,DE379,50.237837,-125.396111,2017-07-04 07:45:00 PDT,0,0,0,0,145,10,0,0,0,0,0,0
DE375N1,DE375,50.27485,-125.377707,2017-07-04 11:15:00 PDT,4,3,8,8,1962,10,0,0,2,2,2,1
DE380N1,DE380,50.307981,-125.320206,2017-07-05 07:40:00 PDT,2,2,1,1,126,10,0,0,0,0,0,0
DE381N1,DE381,50.305134,-125.337052,2017-07-10 08:15:00 PDT,0,0,0,0,63,10,0,0,0,0,0,0
JE101N1,JE101,50.50535,-126.24163,2015-05-20 09:50:00 PDT,300,30,1,1,20,10,6,6,4,4,NA,NA
JE102N2,JE102,50.47479,-126.03259,2015-05-21 06:20:00 PDT,100,30,0,0,30,10,3,3,0,0,NA,NA
JE104N1,JE104,50.45614,-126.11933,2015-05-22 06:40:00 PDT,600,30,0,0,1,1,4,4,0,0,NA,NA
JE105N2,JE105,50.48078,-126.41037,2015-05-22 09:40:00 PDT,150,30,0,0,3,3,150,10,0,0,NA,NA
JE106N4,JE106,50.52222,-126.39167,2015-05-22 13:50:00 PDT,150,30,0,0,2,2,10,10,1,1,NA,NA
JE107N2,JE107,50.54648,-126.67096,2015-05-23 06:00:00 PDT,300,30,0,0,0,0,0,0,0,0,NA,NA
JE108N2,JE108,50.54039,-126.78096,2015-05-23 09:00:00 PDT,200,30,0,0,25,10,8,8,5,5,NA,NA
JE109N3,JE109,50.55787,-126.73532,2015-05-23 12:35:00 PDT,1200,30,0,0,20,10,0,0,0,0,NA,NA
JE110N2,JE110,50.60101,-126.70394,2015-05-24 06:25:00 PDT,400,30,0,0,7,7,1,1,0,0,NA,NA
JE112N1,JE112,50.47696,-126.0273,2015-05-24 14:00:00 PDT,400,30,0,0,2,2,0,0,0,0,NA,NA
JE113N1,JE113,50.49853,-126.21348,2015-05-25 05:40:00 PDT,300,30,0,0,150,10,0,0,4,4,NA,NA
JE114N1,JE114,50.52363,-126.39046,2015-05-25 09:50:00 PDT,800,30,2,2,50,10,4,4,0,0,NA,NA
JE115N1,JE115,50.48103,-126.41291,2015-05-25 13:00:00 PDT,40,30,0,0,15,10,1,1,3,3,NA,NA
JE116N1,JE116,50.45622,-126.11838,2015-05-26 05:45:00 PDT,1000,30,0,0,200,10,1,1,5,5,NA,NA
JE117N2,JE117,50.54672,-126.67256,2015-05-26 09:35:00 PDT,1000,30,0,0,30,10,1,1,0,0,NA,NA
JE118N1,JE118,50.53989,-126.78256,2015-05-26 12:55:00 PDT,1500,30,1,1,100,10,0,0,1,1,NA,NA
JE119N1,JE119,50.55951,-126.75326,2015-05-27 06:00:00 PDT,100,30,0,0,30,10,20,10,0,0,NA,NA
JE122N2,JE122,50.53957,-126.7781,2015-05-27 13:15:00 PDT,2000,30,0,0,200,10,10,6,3,2,NA,NA
JE123N3,JE123,50.57078,-126.70066,2015-05-28 05:35:00 PDT,1000,30,0,0,200,10,10,2,10,1,NA,NA
JE126N1,JE126,50.4838,-126.01069,2015-05-29 06:55:00 PDT,40,30,0,0,200,10,1,1,10,6,NA,NA
JE128N2,JE128,50.50733,-126.24336,2015-05-30 06:30:00 PDT,300,30,0,0,300,10,1,1,0,0,NA,NA
JE129N3,JE129,50.45679,-126.16458,2015-05-30 09:25:00 PDT,600,30,0,0,400,10,4,4,5,5,NA,NA
JE131N1,JE131,50.48405,-126.3987,2015-05-30 15:05:00 PDT,1000,30,10,1,300,10,1,1,20,10,NA,NA
JE132N1,JE132,50.52152,-126.40028,2015-05-31 06:45:00 PDT,100,30,0,0,200,10,0,0,3,3,NA,NA
JE133N1,JE133,50.54605,-126.66218,2015-05-31 09:45:00 PDT,400,30,0,0,200,10,0,0,20,10,NA,NA
JE134N1,JE134,50.53808,-126.77494,2015-05-31 12:30:00 PDT,400,30,0,0,100,10,1,1,0,0,NA,NA
JE136N1,JE136,50.60051,-126.70319,2015-06-01 05:30:00 PDT,400,30,0,0,10,5,0,0,0,0,NA,NA
JE137N1,JE137,50.57871,-126.72129,2015-06-01 07:40:00 PDT,25,25,1,1,300,10,5,5,1,1,NA,NA
JE138N1,JE138,50.55853,-126.73145,2015-06-01 12:30:00 PDT,300,30,10,2,100,10,4,4,0,0,NA,NA
JE139N1,JE139,50.50763,-126.24218,2015-06-02 05:20:00 PDT,200,30,0,0,600,10,5,3,0,0,NA,NA
