eventID,occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID
DE364N1,"NA",sockeyeCount,0,"NA","NA"
DE365N1,"NA",sockeyeCount,30,"NA","NA"
DE366N1,"NA",sockeyeCount,168,"NA","NA"
DE367N1,"NA",sockeyeCount,8,"NA","NA"
DE368N1,"NA",sockeyeCount,0,"NA","NA"
DE436N1,"NA",sockeyeCount,0,"NA","NA"
DE369N1,"NA",sockeyeCount,11,"NA","NA"
DE370N1,"NA",sockeyeCount,420,"NA","NA"
DE371N2,"NA",sockeyeCount,105,"NA","NA"
DE371N1,"NA",sockeyeCount,380,"NA","NA"
DE372N2,"NA",sockeyeCount,30,"NA","NA"
DE372N1,"NA",sockeyeCount,85,"NA","NA"
DE376N2,"NA",sockeyeCount,21,"NA","NA"
DE376N1,"NA",sockeyeCount,130,"NA","NA"
DE377N1,"NA",sockeyeCount,40,"NA","NA"
DE378N1,"NA",sockeyeCount,10,"NA","NA"
DE373N2,"NA",sockeyeCount,14,"NA","NA"
DE373N1,"NA",sockeyeCount,23,"NA","NA"
DE374N1,"NA",sockeyeCount,10,"NA","NA"
DE457N3,"NA",sockeyeCount,2,"NA","NA"
DE457N2,"NA",sockeyeCount,3,"NA","NA"
DE457N1,"NA",sockeyeCount,2,"NA","NA"
DE458N1,"NA",sockeyeCount,35,"NA","NA"
DE459N2,"NA",sockeyeCount,8,"NA","NA"
DE459N1,"NA",sockeyeCount,2,"NA","NA"
DE460N1,"NA",sockeyeCount,10,"NA","NA"
DE461N1,"NA",sockeyeCount,9,"NA","NA"
DE462N2,"NA",sockeyeCount,9,"NA","NA"
DE462N1,"NA",sockeyeCount,6,"NA","NA"
DE463N3,"NA",sockeyeCount,3,"NA","NA"
DE463N2,"NA",sockeyeCount,0,"NA","NA"
DE463N1,"NA",sockeyeCount,1,"NA","NA"
DE464N2,"NA",sockeyeCount,0,"NA","NA"
DE464N1,"NA",sockeyeCount,5,"NA","NA"
DE379N1,"NA",sockeyeCount,0,"NA","NA"
DE375N1,"NA",sockeyeCount,4,"NA","NA"
DE380N1,"NA",sockeyeCount,2,"NA","NA"
DE381N1,"NA",sockeyeCount,0,"NA","NA"
JE100N1,"NA",sockeyeCount,0,"NA","NA"
JE101N1,"NA",sockeyeCount,300,"NA","NA"
JE102N1,"NA",sockeyeCount,0,"NA","NA"
JE102N2,"NA",sockeyeCount,100,"NA","NA"
JE103N1,"NA",sockeyeCount,0,"NA","NA"
JE103N2,"NA",sockeyeCount,0,"NA","NA"
JE104N1,"NA",sockeyeCount,600,"NA","NA"
JE105N1,"NA",sockeyeCount,0,"NA","NA"
JE105N2,"NA",sockeyeCount,150,"NA","NA"
JE106N3,"NA",sockeyeCount,0,"NA","NA"
JE106N2,"NA",sockeyeCount,0,"NA","NA"
JE106N1,"NA",sockeyeCount,0,"NA","NA"
JE106N4,"NA",sockeyeCount,150,"NA","NA"
JE107N1,"NA",sockeyeCount,0,"NA","NA"
JE107N2,"NA",sockeyeCount,300,"NA","NA"
JE108N1,"NA",sockeyeCount,0,"NA","NA"
JE108N2,"NA",sockeyeCount,200,"NA","NA"
JE109N2,"NA",sockeyeCount,0,"NA","NA"
JE109N1,"NA",sockeyeCount,0,"NA","NA"
JE109N3,"NA",sockeyeCount,1200,"NA","NA"
JE110N1,"NA",sockeyeCount,0,"NA","NA"
JE110N2,"NA",sockeyeCount,400,"NA","NA"
JE112N1,"NA",sockeyeCount,400,"NA","NA"
JE113N1,"NA",sockeyeCount,300,"NA","NA"
JE114N1,"NA",sockeyeCount,800,"NA","NA"
JE115N1,"NA",sockeyeCount,40,"NA","NA"
JE116N1,"NA",sockeyeCount,1000,"NA","NA"
JE117N1,"NA",sockeyeCount,0,"NA","NA"
JE117N2,"NA",sockeyeCount,1000,"NA","NA"
JE118N1,"NA",sockeyeCount,1500,"NA","NA"
JE119N1,"NA",sockeyeCount,100,"NA","NA"
JE122N1,"NA",sockeyeCount,0,"NA","NA"
JE122N2,"NA",sockeyeCount,2000,"NA","NA"
JE123N2,"NA",sockeyeCount,0,"NA","NA"
JE123N1,"NA",sockeyeCount,0,"NA","NA"
JE123N3,"NA",sockeyeCount,1000,"NA","NA"
JE126N1,"NA",sockeyeCount,40,"NA","NA"
JE127N1,"NA",sockeyeCount,0,"NA","NA"
JE128N1,"NA",sockeyeCount,0,"NA","NA"
JE128N2,"NA",sockeyeCount,300,"NA","NA"
JE129N2,"NA",sockeyeCount,0,"NA","NA"
JE129N1,"NA",sockeyeCount,0,"NA","NA"
JE129N3,"NA",sockeyeCount,600,"NA","NA"
JE131N1,"NA",sockeyeCount,1000,"NA","NA"
JE132N1,"NA",sockeyeCount,100,"NA","NA"
JE133N1,"NA",sockeyeCount,400,"NA","NA"
JE134N1,"NA",sockeyeCount,400,"NA","NA"
JE136N1,"NA",sockeyeCount,400,"NA","NA"
JE137N1,"NA",sockeyeCount,25,"NA","NA"
JE138N1,"NA",sockeyeCount,300,"NA","NA"
JE139N1,"NA",sockeyeCount,200,"NA","NA"
JE140N1,"NA",sockeyeCount,500,"NA","NA"
JE141N1,"NA",sockeyeCount,0,"NA","NA"
JE142N1,"NA",sockeyeCount,100,"NA","NA"
JE143N1,"NA",sockeyeCount,15000,"NA","NA"
JE145N1,"NA",sockeyeCount,100,"NA","NA"
JE146N1,"NA",sockeyeCount,300,"NA","NA"
JE147N1,"NA",sockeyeCount,200,"NA","NA"
JE148N2,"NA",sockeyeCount,0,"NA","NA"
JE148N1,"NA",sockeyeCount,0,"NA","NA"
JE148N3,"NA",sockeyeCount,300,"NA","NA"
JE149N1,"NA",sockeyeCount,300,"NA","NA"
JE150N1,"NA",sockeyeCount,1000,"NA","NA"
JE152N1,"NA",sockeyeCount,100,"NA","NA"
JE153N1,"NA",sockeyeCount,0,"NA","NA"
JE154N1,"NA",sockeyeCount,100,"NA","NA"
JE155N1,"NA",sockeyeCount,300,"NA","NA"
JE157N1,"NA",sockeyeCount,0,"NA","NA"
JE157N2,"NA",sockeyeCount,200,"NA","NA"
JE159N1,"NA",sockeyeCount,400,"NA","NA"
JE160N1,"NA",sockeyeCount,300,"NA","NA"
JE161N1,"NA",sockeyeCount,200,"NA","NA"
JE162N1,"NA",sockeyeCount,200,"NA","NA"
JE163N1,"NA",sockeyeCount,200,"NA","NA"
JE165N1,"NA",sockeyeCount,500,"NA","NA"
JE166N1,"NA",sockeyeCount,2000,"NA","NA"
JE168N1,"NA",sockeyeCount,4,"NA","NA"
JE171N1,"NA",sockeyeCount,0,"NA","NA"
JE171N2,"NA",sockeyeCount,1000,"NA","NA"
JE172N3,"NA",sockeyeCount,0,"NA","NA"
JE172N2,"NA",sockeyeCount,0,"NA","NA"
JE172N1,"NA",sockeyeCount,0,"NA","NA"
JE172N4,"NA",sockeyeCount,600,"NA","NA"
JE173N1,"NA",sockeyeCount,1000,"NA","NA"
JE174N1,"NA",sockeyeCount,300,"NA","NA"
JE175N1,"NA",sockeyeCount,7,"NA","NA"
JE176N1,"NA",sockeyeCount,0,"NA","NA"
JE176N2,"NA",sockeyeCount,100,"NA","NA"
JE177N1,"NA",sockeyeCount,0,"NA","NA"
JE177N2,"NA",sockeyeCount,100,"NA","NA"
JE178N1,"NA",sockeyeCount,300,"NA","NA"
JE179N1,"NA",sockeyeCount,100,"NA","NA"
JE180N1,"NA",sockeyeCount,0,"NA","NA"
JE180N2,"NA",sockeyeCount,6,"NA","NA"
JE181N1,"NA",sockeyeCount,0,"NA","NA"
JE181N2,"NA",sockeyeCount,700,"NA","NA"
JE182N1,"NA",sockeyeCount,3,"NA","NA"
JE183N1,"NA",sockeyeCount,35,"NA","NA"
JE184N1,"NA",sockeyeCount,3,"NA","NA"
JE185N1,"NA",sockeyeCount,20,"NA","NA"
JE186N1,"NA",sockeyeCount,300,"NA","NA"
JE187N1,"NA",sockeyeCount,17,"NA","NA"
JE188N1,"NA",sockeyeCount,4,"NA","NA"
JE189N1,"NA",sockeyeCount,0,"NA","NA"
JE189N2,"NA",sockeyeCount,200,"NA","NA"
JE190N1,"NA",sockeyeCount,200,"NA","NA"
JE191N1,"NA",sockeyeCount,50,"NA","NA"
JE192N1,"NA",sockeyeCount,30,"NA","NA"
JE193N1,"NA",sockeyeCount,5,"NA","NA"
JE195N1,"NA",sockeyeCount,24,"NA","NA"
JE196N1,"NA",sockeyeCount,1200,"NA","NA"
JE197N1,"NA",sockeyeCount,200,"NA","NA"
JE198N1,"NA",sockeyeCount,0,"NA","NA"
JE198N2,"NA",sockeyeCount,100,"NA","NA"
JE199N1,"NA",sockeyeCount,0,"NA","NA"
JE199N2,"NA",sockeyeCount,50,"NA","NA"
JE200N1,"NA",sockeyeCount,18,"NA","NA"
JE201N2,"NA",sockeyeCount,0,"NA","NA"
JE201N1,"NA",sockeyeCount,0,"NA","NA"
JE201N3,"NA",sockeyeCount,18,"NA","NA"
JE202N1,"NA",sockeyeCount,500,"NA","NA"
JE203N1,"NA",sockeyeCount,8,"NA","NA"
JE204N1,"NA",sockeyeCount,0,"NA","NA"
JE204N2,"NA",sockeyeCount,37,"NA","NA"
JE205N1,"NA",sockeyeCount,60,"NA","NA"
JE206N1,"NA",sockeyeCount,0,"NA","NA"
JE206N2,"NA",sockeyeCount,19,"NA","NA"
JE207N1,"NA",sockeyeCount,0,"NA","NA"
JE207N2,"NA",sockeyeCount,10,"NA","NA"
JE208N1,"NA",sockeyeCount,0,"NA","NA"
JE208N2,"NA",sockeyeCount,10,"NA","NA"
JE209N1,"NA",sockeyeCount,100,"NA","NA"
JE210N1,"NA",sockeyeCount,0,"NA","NA"
JE210N2,"NA",sockeyeCount,0,"NA","NA"
JE211N1,"NA",sockeyeCount,0,"NA","NA"
JE212N1,"NA",sockeyeCount,0,"NA","NA"
JE213N1,"NA",sockeyeCount,400,"NA","NA"
JE216N1,"NA",sockeyeCount,3,"NA","NA"
JE217N1,"NA",sockeyeCount,3,"NA","NA"
JE218N1,"NA",sockeyeCount,40,"NA","NA"
JE219N1,"NA",sockeyeCount,0,"NA","NA"
JE220N1,"NA",sockeyeCount,0,"NA","NA"
JE221N1,"NA",sockeyeCount,0,"NA","NA"
JE224N1,"NA",sockeyeCount,0,"NA","NA"
JE225N1,"NA",sockeyeCount,30,"NA","NA"
JE227N1,"NA",sockeyeCount,0,"NA","NA"
JE228N1,"NA",sockeyeCount,0,"NA","NA"
JE229N1,"NA",sockeyeCount,0,"NA","NA"
JE229N2,"NA",sockeyeCount,0,"NA","NA"
JE231N1,"NA",sockeyeCount,2000,"NA","NA"
JE232N1,"NA",sockeyeCount,0,"NA","NA"
