eventID,occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID
DE103N1,hakai-jsp-U214,fork length,87,mm,"NA"
DE103N1,hakai-jsp-U215,fork length,100,mm,"NA"
DE115N2,hakai-jsp-U216,fork length,96,mm,"NA"
DE115N2,hakai-jsp-U217,fork length,100,mm,"NA"
DE103N1,hakai-jsp-U207,fork length,93,mm,"NA"
DE103N1,hakai-jsp-U208,fork length,92,mm,"NA"
DE103N1,hakai-jsp-U209,fork length,92,mm,"NA"
DE115N2,hakai-jsp-U210,fork length,98,mm,"NA"
DE115N2,hakai-jsp-U241,fork length,99,mm,"NA"
DE103N1,hakai-jsp-U200,fork length,82,mm,"NA"
DE103N1,hakai-jsp-U231,fork length,96,mm,"NA"
DE103N1,hakai-jsp-U232,fork length,92,mm,"NA"
DE115N2,hakai-jsp-U233,fork length,100,mm,"NA"
DE115N2,hakai-jsp-U234,fork length,103,mm,"NA"
DE115N2,hakai-jsp-U235,fork length,100,mm,"NA"
DE103N1,hakai-jsp-U127,fork length,88,mm,"NA"
DE115N2,hakai-jsp-U218,fork length,100,mm,"NA"
DE163N1,hakai-jsp-U219,fork length,106,mm,"NA"
DE163N1,hakai-jsp-U220,fork length,104,mm,"NA"
DE163N1,hakai-jsp-U221,fork length,105,mm,"NA"
DE163N1,hakai-jsp-U222,fork length,109,mm,"NA"
DE231N2,hakai-jsp-U223,fork length,126,mm,"NA"
DE163N1,hakai-jsp-U242,fork length,119,mm,"NA"
DE163N1,hakai-jsp-U243,fork length,109,mm,"NA"
DE163N1,hakai-jsp-U244,fork length,115,mm,"NA"
DE231N2,hakai-jsp-U245,fork length,121,mm,"NA"
DE231N2,hakai-jsp-U246,fork length,122,mm,"NA"
DE115N2,hakai-jsp-U236,fork length,98,mm,"NA"
DE163N1,hakai-jsp-U237,fork length,109,mm,"NA"
DE163N1,hakai-jsp-U238,fork length,115,mm,"NA"
DE163N1,hakai-jsp-U239,fork length,104,mm,"NA"
DE231N2,hakai-jsp-U240,fork length,127,mm,"NA"
DE115N2,hakai-jsp-U128,fork length,104,mm,"NA"
DE231N2,hakai-jsp-U247,fork length,125,mm,"NA"
DE231N2,hakai-jsp-U248,fork length,124,mm,"NA"
DE240N1,hakai-jsp-U249,fork length,67,mm,"NA"
DE240N1,hakai-jsp-U250,fork length,83,mm,"NA"
DE231N2,hakai-jsp-U251,fork length,129,mm,"NA"
DE231N2,hakai-jsp-U252,fork length,127,mm,"NA"
DE231N2,hakai-jsp-U253,fork length,115,mm,"NA"
DE240N1,hakai-jsp-U254,fork length,84,mm,"NA"
DE240N1,hakai-jsp-U255,fork length,85,mm,"NA"
DE240N1,hakai-jsp-U224,fork length,76,mm,"NA"
DE240N1,hakai-jsp-U225,fork length,73,mm,"NA"
DE152N3,hakai-jsp-U226,fork length,106,mm,"NA"
DE152N3,hakai-jsp-U227,fork length,109,mm,"NA"
DE152N3,hakai-jsp-U228,fork length,104,mm,"NA"
DE152N3,hakai-jsp-U229,fork length,115,mm,"NA"
DE240N1,hakai-jsp-U261,fork length,72,mm,"NA"
DE240N1,hakai-jsp-U262,fork length,80,mm,"NA"
DE152N3,hakai-jsp-U263,fork length,110,mm,"NA"
DE152N3,hakai-jsp-U264,fork length,100,mm,"NA"
DE152N3,hakai-jsp-U265,fork length,112,mm,"NA"
