occurrenceID,occurrenceStatus,basisOfRecord,organismID,eventDate,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,scientificNameID,eventID,samplingProtocol,kingdom,taxonRank,lifeStage,sex,associatedReferences,coordinateUncertaintyInMeters,dataGeneralizations
ioos_atn_38553_2011-06-25T04:41:52Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-25T04:41:52Z,66.611,-163.006,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-25T04:41:52Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_38553_2011-06-25T05:04:57Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-25T05:04:57Z,66.621,-162.988,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-25T05:04:57Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_38553_2011-06-25T06:26:11Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-25T06:26:11Z,66.618,-162.996,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-25T06:26:11Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_38553_2011-06-25T07:22:06Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-25T07:22:06Z,66.634,-162.991,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-25T07:22:06Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
ioos_atn_38553_2011-06-25T08:06:03Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-25T08:06:03Z,66.611,-163.013,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-25T08:06:03Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_38553_2011-06-26T00:38:51Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-26T00:38:51Z,66.612,-162.962,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-26T00:38:51Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,
ioos_atn_38553_2011-06-26T02:03:51Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-26T02:03:51Z,66.606,-162.97,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-26T02:03:51Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
ioos_atn_38553_2011-06-26T03:09:42Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-26T03:09:42Z,66.628,-162.981,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-26T03:09:42Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,first of 2 records.
ioos_atn_38553_2011-06-26T04:20:01Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-26T04:20:01Z,66.615,-162.954,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-26T04:20:01Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,first of 2 records.
ioos_atn_38553_2011-06-26T05:25:22Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-26T05:25:22Z,66.611,-162.949,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-26T05:25:22Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
ioos_atn_38553_2011-06-26T06:24:28Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-26T06:24:28Z,66.628,-162.892,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-26T06:24:28Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,first of 2 records.
ioos_atn_38553_2011-06-26T08:06:47Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-26T08:06:47Z,66.625,-162.903,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-26T08:06:47Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,500,
ioos_atn_38553_2011-06-27T00:53:46Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-27T00:53:46Z,66.504,-163.081,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-27T00:53:46Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_38553_2011-06-27T01:08:26Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-27T01:08:26Z,66.527,-163.059,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-27T01:08:26Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 3 records.
ioos_atn_38553_2011-06-27T02:18:56Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-27T02:18:56Z,66.508,-163.036,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-27T02:18:56Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,500,first of 2 records.
ioos_atn_38553_2011-06-27T03:33:11Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-27T03:33:11Z,66.518,-163.019,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-27T03:33:11Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,500,first of 3 records.
ioos_atn_38553_2011-06-27T04:29:26Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-27T04:29:26Z,66.525,-163.038,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-27T04:29:26Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,250,
