seine_id,survey_id,lat,long,set_time,so_total,pi_total,cu_total,co_total,he_total,ck_total
DE308N1,DE308,50.190683,-125.143138,2016-06-09 10:30:00 PDT,80,60,100,0,0,NA
DE310N2,DE310,50.021998,-124.916211,2016-06-11 07:05:00 PDT,1,10,6,0,0,NA
DE310N1,DE310,50.021998,-124.916211,2016-06-11 06:35:00 PDT,0,0,10,1,0,NA
DE315N1,DE315,50.391225,-125.365332,2016-06-13 09:50:00 PDT,15,100,80,0,0,NA
DE317N3,DE317,50.305971,-125.334369,2016-06-14 07:40:00 PDT,0,0,0,0,0,NA
DE317N2,DE317,50.305971,-125.334369,2016-06-14 06:59:00 PDT,0,0,0,0,0,NA
DE317N1,DE317,50.305971,-125.334369,2016-06-14 06:34:00 PDT,0,0,0,0,0,NA
DE320N1,DE320,50.235322,-125.39888,2016-06-14 08:47:00 PDT,200,400,400,0,0,NA
DE321N1,DE321,50.275083,-125.381356,2016-06-14 11:58:00 PDT,6,500,20,0,0,NA
DE322N1,DE322,50.307203,-125.332605,2016-06-14 14:20:00 PDT,100,100,200,0,0,NA
DE323N2,DE323,50.319224,-125.044219,2016-06-16 07:20:00 PDT,0,0,0,0,0,NA
DE323N1,DE323,50.319224,-125.044219,2016-06-16 06:58:00 PDT,0,0,0,0,0,NA
DE325N2,DE325,50.238067,-125.1179,2016-06-16 09:22:00 PDT,0,0,0,0,0,NA
DE325N1,DE325,50.238067,-125.1179,2016-06-16 08:50:00 PDT,0,0,0,0,0,NA
DE327N2,DE327,50.191383,-125.143884,2016-06-16 14:00:00 PDT,300,100,100,0,0,NA
DE327N1,DE327,50.191383,-125.143884,2016-06-16 11:23:00 PDT,100,30,30,0,0,NA
DE329N2,DE329,50.30661,-125.335266,2016-06-21 09:36:00 PDT,14,20,30,0,0,NA
DE329N1,DE329,50.30661,-125.335266,2016-06-21 09:23:00 PDT,0,0,0,0,0,NA
DE331N1,DE331,50.236643,-125.39734,2016-06-21 14:37:00 PDT,0,NA,NA,NA,NA,NA
DE335N2,DE335,50.382455,-125.373533,2016-06-22 07:00:00 PDT,100,200,200,0,0,NA
DE335N1,DE335,50.382455,-125.373533,2016-06-22 06:33:00 PDT,0,0,0,1,0,NA
DE337N1,DE337,50.38992,-125.613237,2016-06-22 10:52:00 PDT,0,0,0,0,0,NA
DE338N1,DE338,50.458706,-125.365059,2016-06-22 13:00:00 PDT,50,100,100,0,3,NA
DE341N1,DE341,50.24043,-125.119941,2016-06-23 10:20:00 PDT,21,100,200,0,3,NA
DE342N1,DE342,50.022465,-124.916635,2016-06-24 07:50:00 PDT,0,10,10,0,0,NA
DE344N1,DE344,49.997783,-125.15945,2016-06-24 11:45:00 PDT,9,70,70,0,3,NA
DE350N2,DE350,50.307068,-125.329361,2016-06-29 10:02:00 PDT,0,0,0,0,0,NA
